Castle	Victoria Road	Acton
Kings Arms	The Vale	Acton
Kings Head	214 High Street	Acton
Red Lion	281 High Street	Acton
Ash Tree	Convent Road	Ashford
Beehive	333 Staines Road	Bedfont
Star Tavern	6 Belgrave Mews West	Belgravia
Beehive	227 High Street	Brentford
Brewery Tap	47 Catherine Wheel Road	Brentford
George & Dragon	29 London Road	Brentford
Globe	104 Windmill Road	Brentford
Griffin	Brook Road	Brentford
Lord Nelson	9 Enfield Road	Brentford
Pottery Arms	25 Clayponds Lane	Brentford
Princess Royal	107 Ealing Road	Brentford
Red Lion	322 High Street	Brentford
Six Bells	148 High Street	Brentford
Star & Garter	Kew Bridge	Brentford
Waggon & Horses	26 Kew Bridge Road	Brentford
White Horse	24 Market Place	Brentford
Bell & Crown	13 Thames Road, Strand on the Green	Chiswick
Duke of York	107 Devonshire Road	Chiswick
Fox & Hounds & Mawson Arms	110 Chiswick Lane South	Chiswick
George & Devonshire	8 Burlington Lane	Chiswick
George IV	185 High Road	Chiswick
Old Pack Horse	434 High Road	Chiswick
Windmill	214 High Road	Chiswick
Anchor & Hope	15 High Hill Ferry	Clapton
Paddington Packet Boat	High Road	Cowley
Queen's Head	High Street	Cranford
Fishermans Arms	78 Windmill Road	Croydon
Royal Standard	1 Sheldon Street	Croydon
Dog & Bell	116 Prince Street	Deptford
Wotton Hatch Hotel	Wotton	Dorking
Castle	St Mary's Road	Ealing
Drayton Court Hotel	The Avenue	West Ealing
Feathers	The Broadway	Ealing
Fox & Goose	Hanger Hill	Ealing
Kent Hotel	Scotch Common	West Ealing
Plough	Northfield Avenue	Ealing
Red Lion	13 St Mary's Road	Ealing
Rose & Crown	Church Place, St Mary's Road	Ealing
Viaduct	Uxbridge Road	Hanwell
Wheatsheaf	41 Haven Lane	Ealing
White Hart	324 Greenford Avenue	Hanwell
Sawyers Arms	Ashford Road	Feltham
Black Horse	425 Oldfield Lane	Greenford
Britannia	190 Talgarth Road	Hammersmith
Clarendon	1-5 Hammersmith Broadway	Hammersmith
Cross Keys	57 Black Lion Lane	Hammersmith
Dove	Upper Mall	Hammersmith
Red Cow	157 Hammersmith Road	Hammersmith
Salutation	154 King Street	Hammersmith
Cardinal Wolsey	The Green	Hampton Court
New Moon	Main Street	Hanworth
Green Man	109 High Street	Harlesden
White Hart	High Street	Harlington
Castle	30 West Street	Harrow
Adam & Eve	830 Uxbridge Road	Hayes
Angel	697 Uxbridge Road	Hayes
Walnut Tree	Willow Tree Lane	Yeading
Crown	Colham Green	Hillingdon
Master Brewer Motel	Western Avenue	Hillingdon
Oak Tree	Ryefield Avenue	Hillingdon
Pear Tree	Goulds Green	Hillingdon
Prince of Wales	Uxbridge Road	Hillingdon
Red Lion	Uxbridge Road	Hillingdon
Star	Uxbridge Road	Hillingdon
Chariot	34 High Street	Hounslow
Cross Lances	236 Hanworth Road	Hounslow
Earl Russell	274 Hanworth Road	Hounslow
Master Robert Motel	366 Great West Road	Hounslow
Queen Victoria	121 Bath Road	Hounslow
Rifleman	50 Hanworth Road	Hounslow
White Bear	Kingsley Road	Hounslow
Admiral Nelson	123 Nelson Road	Whitton
Hare & Hounds	Wyke Green	Isleworth
Rising Sun	407 London Road	Isleworth
Royal Oak	Worton Road	Isleworth
Swan	Swan Street	Isleworth
Rossetti	23 Queens Grove	St John's Wood
Churchill Arms	119 Kensington Church Street	Kensington
White Hart	Hampton Wick	Kingston
Narrow Boat	346 Ladbroke Grove	Ladbroke Grove
Roebuck	25 Rennell Street	Lewisham
Plough	Mandeville Road	Northolt
White Hart	West End	Northolt
Sidmouth Arms	102 Bird in Bush Road	Peckham
Jolly Gardeners	61-63 Lacy Road	Putney
Butler	89-91 Chatham Street	Reading
Angel & Crown	Church Court	Richmond
Princes Head	The Green	Richmond
Sun Inn	17 Parkshot	Richmond
White Horse	Worple Way	Richmond
Crown & Sceptre	57 Melina Road	Shepherds Bush
Beaconsfield Arms	West End Road	Southall
Havelock Arms	Kings Street	Southall
Lord Wolseley	Dudley Road	Southall
Northcote Arms	Northcote Avenue	Southall
Plough Inn	Norwood Green	Southall
Scotsman	96 Scotts Road	Southall
White Lion	White Street	Southall
Swan	The Hythe	Staines
Hare & Hounds	132 Vicarage Road	Sunbury
Prince Albert	30 Hampton Road	Twickenham
Prince Blucher	The Green	Twickenham
Turks Head	Winchester Road	Twickenham
Nashville	171 North End Road	West Kensington
Seven Stars	253 North End Road	West Kensington
Warwick Arms	160 Warwick Road	Kensington
Surveyor	Island Farm Road	West Molesey
